Invoice,StockCode,Quantity,InvoiceDate,Price,Customer ID
489439,22065,12,2009-12-01 09:28:00,1.45,12682
489439,22138,9,2009-12-01 09:28:00,4.95,12682
489439,22139,9,2009-12-01 09:28:00,4.95,12682
489439,22352,12,2009-12-01 09:28:00,2.55,12682
489439,85014A,3,2009-12-01 09:28:00,5.95,12682
489439,85014B,3,2009-12-01 09:28:00,5.95,12682
489439,16161P,25,2009-12-01 09:28:00,0.42,12682
489439,16169N,25,2009-12-01 09:28:00,0.42,12682
489439,21491,6,2009-12-01 09:28:00,1.95,12682
489439,22333,8,2009-12-01 09:28:00,1.65,12682
489439,85216,12,2009-12-01 09:28:00,0.65,12682
489439,21493,12,2009-12-01 09:28:00,0.85,12682
489439,22130,24,2009-12-01 09:28:00,0.85,12682
489439,22064,12,2009-12-01 09:28:00,1.65,12682
489439,21731,24,2009-12-01 09:28:00,1.65,12682
489439,85232B,6,2009-12-01 09:28:00,4.95,12682
489439,84691,12,2009-12-01 09:28:00,0.85,12682
489439,20749,2,2009-12-01 09:28:00,7.95,12682
489439,POST,3,2009-12-01 09:28:00,18.0,12682
489444,POST,1,2009-12-01 09:55:00,141.0,12636
489447,POST,1,2009-12-01 10:10:00,130.0,12362
C489449,22087,-12,2009-12-01 10:33:00,2.95,16321
C489449,85206A,-6,2009-12-01 10:33:00,1.65,16321
C489449,21895,-4,2009-12-01 10:33:00,4.25,16321
C489449,21896,-6,2009-12-01 10:33:00,2.1,16321
C489449,22083,-12,2009-12-01 10:33:00,2.95,16321
C489449,21871,-12,2009-12-01 10:33:00,1.25,16321
C489449,84946,-12,2009-12-01 10:33:00,1.25,16321
C489449,84970S,-24,2009-12-01 10:33:00,0.85,16321
C489449,22090,-12,2009-12-01 10:33:00,2.95,16321
489450,22087,12,2009-12-01 10:36:00,2.95,16321
489450,85206A,6,2009-12-01 10:36:00,1.65,16321
489450,21895,4,2009-12-01 10:36:00,4.25,16321
489450,21896,6,2009-12-01 10:36:00,2.1,16321
489450,22083,12,2009-12-01 10:36:00,2.95,16321
489450,21871,12,2009-12-01 10:36:00,1.25,16321
489450,84946,12,2009-12-01 10:36:00,1.25,16321
489450,84970S,24,2009-12-01 10:36:00,0.85,16321
489450,22090,12,2009-12-01 10:36:00,2.95,16321
489520,35751C,12,2009-12-01 11:41:00,0.75,14911
489520,72739B,12,2009-12-01 11:41:00,1.25,14911
489520,22114,8,2009-12-01 11:41:00,3.95,14911
489520,22212,6,2009-12-01 11:41:00,2.1,14911
489520,21523,2,2009-12-01 11:41:00,6.75,14911
489520,48187,2,2009-12-01 11:41:00,6.75,14911
489520,48195,2,2009-12-01 11:41:00,6.75,14911
489520,72741,36,2009-12-01 11:41:00,1.45,14911
489520,85232D,3,2009-12-01 11:41:00,4.95,14911
489520,20828,6,2009-12-01 11:41:00,2.55,14911
489520,22080,10,2009-12-01 11:41:00,1.65,14911
489520,22082,10,2009-12-01 11:41:00,1.65,14911
489520,21754,6,2009-12-01 11:41:00,5.95,14911
489520,21784,4,2009-12-01 11:41:00,9.95,14911
489520,21172,12,2009-12-01 11:41:00,1.45,14911
489520,21181,6,2009-12-01 11:41:00,2.1,14911
489520,82600,12,2009-12-01 11:41:00,2.1,14911
489520,22282,4,2009-12-01 11:41:00,12.75,14911
489520,21842,54,2009-12-01 11:41:00,2.55,14911
489520,22089,6,2009-12-01 11:41:00,2.95,14911
489520,21430,4,2009-12-01 11:41:00,3.75,14911
489520,20734,10,2009-12-01 11:41:00,0.85,14911
489520,21133,12,2009-12-01 11:41:00,1.69,14911
489520,35071,12,2009-12-01 11:41:00,0.85,14911
489520,22083,6,2009-12-01 11:41:00,2.95,14911
489520,22086,6,2009-12-01 11:41:00,2.95,14911
489520,22121,3,2009-12-01 11:41:00,5.95,14911
489520,21485,3,2009-12-01 11:41:00,4.95,14911
489520,84836,12,2009-12-01 11:41:00,1.25,14911
489520,22122,12,2009-12-01 11:41:00,2.95,14911
489526,85049E,12,2009-12-01 11:50:00,1.25,12533
489526,21976,24,2009-12-01 11:50:00,0.55,12533
489526,21498,25,2009-12-01 11:50:00,0.42,12533
489526,22077,12,2009-12-01 11:50:00,1.65,12533
489526,84946,12,2009-12-01 11:50:00,1.25,12533
489526,84948,24,2009-12-01 11:50:00,1.65,12533
489526,21537,4,2009-12-01 11:50:00,4.25,12533
489526,21733,6,2009-12-01 11:50:00,2.95,12533
489526,85123A,6,2009-12-01 11:50:00,2.95,12533
489526,20718,10,2009-12-01 11:50:00,1.25,12533
489526,21539,3,2009-12-01 11:50:00,4.95,12533
489526,16169F,25,2009-12-01 11:50:00,0.42,12533
489526,84836,24,2009-12-01 11:50:00,1.25,12533
489526,21527,2,2009-12-01 11:50:00,7.95,12533
489526,21533,6,2009-12-01 11:50:00,4.95,12533
489526,21531,6,2009-12-01 11:50:00,2.55,12533
489526,22180,3,2009-12-01 11:50:00,9.95,12533
489526,22333,8,2009-12-01 11:50:00,1.65,12533
489526,22319,24,2009-12-01 11:50:00,0.65,12533
489526,85232B,9,2009-12-01 11:50:00,4.95,12533
489526,20676,8,2009-12-01 11:50:00,1.25,12533
489526,20914,12,2009-12-01 11:50:00,2.95,12533
489526,21217,3,2009-12-01 11:50:00,9.95,12533
489526,21238,16,2009-12-01 11:50:00,0.85,12533
489526,21242,8,2009-12-01 11:50:00,1.69,12533
489526,22232,8,2009-12-01 11:50:00,1.65,12533
489526,21535,6,2009-12-01 11:50:00,2.55,12533
489526,21844,6,2009-12-01 11:50:00,2.95,12533
489526,22073,4,2009-12-01 11:50:00,3.75,12533
489526,22072,4,2009-12-01 11:50:00,3.75,12533
489526,22321,24,2009-12-01 11:50:00,0.85,12533
489526,15056BL,6,2009-12-01 11:50:00,5.95,12533
489526,15056N,6,2009-12-01 11:50:00,5.95,12533
489526,21731,12,2009-12-01 11:50:00,1.65,12533
489526,22254,12,2009-12-01 11:50:00,1.25,12533
489526,22255,12,2009-12-01 11:50:00,0.85,12533
489526,46000S,2,2009-12-01 11:50:00,1.45,12533
489526,20964,3,2009-12-01 11:50:00,2.55,12533
489526,21788,24,2009-12-01 11:50:00,0.85,12533
489526,21789,24,2009-12-01 11:50:00,0.85,12533
489526,20682,6,2009-12-01 11:50:00,3.25,12533
489526,85014C,3,2009-12-01 11:50:00,5.95,12533
489526,84832,24,2009-12-01 11:50:00,0.85,12533
489526,POST,6,2009-12-01 11:50:00,18.0,12533
C489534,35832,-1,2009-12-01 12:09:00,5.95,12615
489546,84050,6,2009-12-01 12:30:00,1.65,14156
489546,47568,6,2009-12-01 12:30:00,2.1,14156
489546,84782A,2,2009-12-01 12:30:00,12.75,14156
489546,84782C,1,2009-12-01 12:30:00,12.75,14156
489546,21232,12,2009-12-01 12:30:00,1.25,14156
489546,21231,12,2009-12-01 12:30:00,1.25,14156
489546,22186,6,2009-12-01 12:30:00,2.95,14156
489546,22169,4,2009-12-01 12:30:00,8.5,14156
489546,82494L,6,2009-12-01 12:30:00,2.95,14156
489546,84933A,6,2009-12-01 12:30:00,2.1,14156
489546,84933B,6,2009-12-01 12:30:00,2.1,14156
489546,22201,4,2009-12-01 12:30:00,4.25,14156
489546,37503,4,2009-12-01 12:30:00,10.75,14156
489546,48185,4,2009-12-01 12:30:00,6.75,14156
489546,48188,2,2009-12-01 12:30:00,6.75,14156
489546,48194,2,2009-12-01 12:30:00,6.75,14156
489546,48129,2,2009-12-01 12:30:00,6.75,14156
489546,84997D,6,2009-12-01 12:30:00,3.75,14156
489546,21781,1,2009-12-01 12:30:00,14.95,14156
489546,22111,3,2009-12-01 12:30:00,4.95,14156
489546,21485,3,2009-12-01 12:30:00,4.95,14156
489546,21484,4,2009-12-01 12:30:00,3.45,14156
489546,20692,9,2009-12-01 12:30:00,4.25,14156
